Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R13,100,R_2512_6332Metric,93.8875,-106.209691,0,top
R14,470,R_0805_2012Metric,104.85,-105.969691,90,top
R15,1k,R_0805_2012Metric,108.65,-110.139588,90,top
R16,10k,R_0805_2012Metric,110.55,-110.139588,-90,top
R17,100,R_2512_6332Metric,93.85,-110.379588,0,top
R18,470,R_0805_2012Metric,104.85,-110.139588,90,top
R19,1k,R_0805_2012Metric,108.65,-114.309485,90,top
R20,10k,R_0805_2012Metric,110.55,-114.309485,-90,top
R21,100,R_2512_6332Metric,93.85,-114.549485,0,top
R22,470,R_0805_2012Metric,104.85,-114.309485,90,top
R23,1k,R_0805_2012Metric,108.65,-118.479382,90,top
R24,10k,R_0805_2012Metric,110.55,-118.479382,-90,top
R25,100,R_2512_6332Metric,93.85,-118.719382,0,top
R26,470,R_0805_2012Metric,104.85,-118.479382,90,top
R27,1k,R_0805_2012Metric,108.65,-89.28,90,top
R28,10k,R_0805_2012Metric,110.55,-89.28,-90,top
R29,100,R_2512_6332Metric,93.8875,-89.530103,0,top
R30,470,R_0805_2012Metric,104.85,-89.28,90,top
R31,1k,R_0805_2012Metric,108.65,-126.819176,90,top
R32,10k,R_0805_2012Metric,110.55,-126.819176,-90,top
R33,100,R_2512_6332Metric,93.85,-127.059176,0,top
R34,470,R_0805_2012Metric,104.85,-126.819176,90,top
R35,1k,R_0805_2012Metric,108.65,-130.989073,90,top
R36,10k,R_0805_2012Metric,110.55,-130.989073,-90,top
R37,100,R_2512_6332Metric,93.8875,-131.229073,0,top
R38,470,R_0805_2012Metric,104.85,-130.989073,90,top
R39,1k,R_0805_2012Metric,108.65,-135.2,90,top
R40,10k,R_0805_2012Metric,110.55,-135.2,-90,top
R41,100,R_2512_6332Metric,93.85,-135.39898,0,top
R42,470,R_0805_2012Metric,104.85,-135.2,90,top
R43,1k,R_0805_2012Metric,108.65,-85.120206,90,top
R44,10k,R_0805_2012Metric,110.55,-85.120206,-90,top
R45,100,R_2512_6332Metric,93.8875,-85.360206,0,top
R46,470,R_0805_2012Metric,104.85,-85.120206,90,top
R47,1k,R_0805_2012Metric,108.65,-93.46,90,top
R48,10k,R_0805_2012Metric,110.55,-93.46,-90,top
R49,100,R_2512_6332Metric,93.85,-93.7,0,top
R50,470,R_0805_2012Metric,104.85,-93.46,90,top
R51,220,R_0805_2012Metric,150.85,-113.7,90,top
R52,220,R_0805_2012Metric,148.85,-113.7,90,top
R53,1k,R_0805_2012Metric,108.65,-122.649279,90,top
R54,10k,R_0805_2012Metric,110.55,-122.649279,-90,top
R55,100,R_2512_6332Metric,93.8875,-122.889279,0,top
R56,470,R_0805_2012Metric,104.85,-122.649279,90,top
R57,100,R_0805_2012Metric,136.35,-93.2,-90,top
R58,100,R_0805_2012Metric,134.95,-86.1,0,top
R59,470k (was 520k),R_0805_2012Metric,128.15,-89.1,-90,top
R60,10k,R_0805_2012Metric,124.15,-89.1,90,top
R61,0.005,R_2512_6332Metric,128.1,-80.4,0,top
R62,10k,R_0805_2012Metric,129.95,-121.2,90,top
R63,120,R_0805_2012Metric,139.65,-133.6,-90,top
R64,100k,R_0805_2012Metric,123.6,-96.4,90,top
R65,1k,R_0805_2012Metric,134.85,-102,90,top
R66,100k,R_0805_2012Metric,134.85,-106.3,90,top
R67,240k,R_0805_2012Metric,156.25,-97.1,-90,top
R68,10k,R_0805_2012Metric,127.95,-121.2,90,top
R69,1k,R_0805_2012Metric,116.35,-135.3,-90,top
R70,1k,R_0805_2012Metric,108.65,-80.950309,90,top
R71,10k,R_0805_2012Metric,110.55,-80.950309,-90,top
R72,100,R_2512_6332Metric,93.8875,-81.190309,0,top
R73,470,R_0805_2012Metric,104.85,-81,90,top
R74,1k,R_0805_2012Metric,110.55,-76.780412,-90,top
R75,10k,R_0805_2012Metric,108.65,-76.780412,90,top
R76,100,R_2512_6332Metric,93.8875,-77.020412,0,top
R77,470,R_0805_2012Metric,104.85,-76.780412,90,top
R78,1k,R_0805_2012Metric,121.6,-96.4,90,top
R79,499k,R_0805_2012Metric,123.95,-121.2,-90,top
R80,10k,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,155.95,-106.8,90,top
